Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2002,"CHC",162,2294,6242,200,706,676,63,0.093719961,0.203300224,0.166848617,0.283079193,0.245815138,0.321219987,0.412663755,0.3195063846273572,,93.34154920273879,-6.983841458335519,-59.20994080200014,26.524099372327328,17.04272068019612
2006,"LAA",162,2264,6221,159,766,737,148,0.078122488,0.146921716,0.150472455,0.30071911,0.274380459,0.333925686,0.424852914,0.32719660516748833,,95.23188999562316,11.290277526131831,-27.374380907039793,-12.102595243602991,17.025365420780986
2018,"CIN",162,2402,6240,172,696,665,77,0.089583333,0.22051282,0.147686189,0.306543916,0.253796095,0.327572282,0.401482284,0.31689097789915605,,94.44573314425624,-7.470038762482545,-50.341361740385466,24.140881832456216,16.971871103928365
2013,"TOR",162,2314,6152,185,712,669,112,0.082899869,0.182542262,0.158208416,0.284274666,0.252483294,0.317818063,0.41069171,0.32013111523453874,,99.11957186605605,3.8183154999278486,-2.799601405854167,-38.36706470232457,16.96669524961222
1998,"SDP",162,2282,6245,167,749,715,79,0.096717373,0.171657325,0.155373407,0.284683426,0.253187613,0.330046872,0.40856102,0.3247502092541728,,99.1227351151224,-0.3972837753535714,-7.571174543961843,-14.526684215292335,16.958897868876868
2017,"OAK",162,2350,6126,234,739,708,57,0.09222984,0.243388834,0.189787701,0.293728499,0.245973645,0.319371727,0.435761346,0.32264622609420196,,103.38158439897482,-10.292025185248349,15.11753796733488,-46.90344659425318,16.958280488381366
2024,"STL",162,2352,6114,165,672,639,91,0.078181223,0.215570821,0.144180135,0.29427659,0.247503177,0.311596583,0.391683312,0.3073353638339882,,97.96365551854647,-3.140824604779482,-18.028879682096754,-21.44223827123642,16.951097146269767
2016,"ARI",162,2399,6260,190,752,709,137,0.073961661,0.227955271,0.170697264,0.315467449,0.261076787,0.32046332,0.431774051,0.32132408417315955,,92.56060451838776,15.574677914068161,-42.05719260555307,8.569674201658927,16.93312689750415
2024,"TEX",162,2291,6053,176,683,652,97,0.080951594,0.212126218,0.142178363,0.278574962,0.237938596,0.305440714,0.380116959,0.3002595929575734,,95.1183087392611,-3.0114057403989136,-36.91415108571301,-1.1317975260317326,16.910074048290856
2007,"LAD",162,2417,6282,129,735,706,137,0.081343521,0.137535816,0.130566441,0.302609067,0.275026718,0.336923324,0.405593159,0.3256977979322853,,93.67021475382195,18.33734359848313,-33.33157339333246,-1.4965020194649696,16.83934978944396
1996,"BOS",162,1787,6545,209,928,882,91,0.098090145,0.155844155,0.173210563,0.310887625,0.283356497,0.359336609,0.45656706,0.355619110344586,,103.84266396664519,-3.2921462956583127,31.48705321597152,-96.98910024017096,16.791848092755945
2003,"CHC",162,2285,6187,172,724,691,73,0.079521577,0.187166639,0.156912484,0.297284533,0.259286102,0.323071884,0.416198586,0.3207976992173114,,90.67625463966563,-9.41488536761608,-83.73655453762,50.88788725621998,16.75264718680727
2013,"NYM",162,2378,6207,130,619,593,114,0.082487514,0.222974061,0.128980032,0.291390728,0.237093002,0.305654858,0.366073034,0.2967902780417566,,89.70178161590853,23.025132838636637,-49.21851798308171,17.629736753180623,16.741074953744313
1996,"MON",162,2315,6171,148,741,696,108,0.079727758,0.174526008,0.144414169,0.299582947,0.261762034,0.326875718,0.406176203,0.3212465694095867,,91.90202790555185,4.872892622486688,-59.244414014513296,44.82592073082924,16.713983532573828
2008,"TOR",162,2244,6191,126,714,681,80,0.084154417,0.151510256,0.135380702,0.295216907,0.264037797,0.331161426,0.399418499,0.3218433444954937,,93.57573849661351,-10.915023739915341,-60.72376668487478,13.834893679246306,16.65757480626444
2005,"WSN",162,2352,6142,117,639,615,45,0.079941387,0.177466623,0.133800221,0.293151969,0.251935127,0.321764997,0.385735348,0.30935344878357995,,87.56891182728661,-16.428624807856977,-112.94127009690202,78.81752378493547,16.638017026643986
2002,"CIN",162,2353,6254,169,709,678,116,0.093220338,0.189958426,0.154661791,0.293041175,0.253382084,0.33041078,0.408043875,0.3220458235154495,,90.5173642179482,1.1779174966504797,-73.939088587926,36.414447182789445,16.59747407756613
2017,"LAA",162,2392,6073,186,710,678,136,0.086118886,0.197266589,0.154570637,0.276674025,0.242659279,0.314998348,0.397229916,0.3067824038000379,,91.67240520465116,1.8904334991821088,-60.77857871598087,27.11170570924878,16.596987777280436
1998,"DET",162,1897,6243,165,722,691,122,0.072881627,0.171391958,0.151659604,0.29704962,0.263771186,0.323000321,0.41543079,0.323605050446237,,89.61332980036062,-2.5969887113315053,-86.81860747825048,38.85711046308279,16.558397923386135
2011,"WSN",161,2341,6090,154,624,594,106,0.077175697,0.217241379,0.140231575,0.291541541,0.242418673,0.308588548,0.382650248,0.30455098542866693,,89.14462698315171,3.7106117063667625,-73.3849616039971,43.49269751086831,16.556695616724184
2006,"OAK",162,2197,6281,175,771,735,61,0.103486705,0.155389269,0.151818182,0.284676503,0.259818181,0.340313299,0.411636363,0.32849934792855495,,97.36140889904637,-16.547603292157874,-38.4904116443592,-8.06454495235812,16.543418949155562
1998,"MIL",162,2277,6232,152,707,673,81,0.085365853,0.166720154,0.136437466,0.293701506,0.259700415,0.330092367,0.396137881,0.32116101244745354,,90.70867556914435,-9.511588043824304,-83.02967088733527,55.16724848537706,16.53233190506431
2018,"MIN",162,2351,6154,166,738,704,47,0.08677283,0.215794605,0.155446978,0.298034398,0.249547593,0.31784841,0.404994571,0.3131836229279857,,95.83090280595904,-3.2984075425192714,-34.39784842920241,-15.099025033414364,16.515209884146078
1991,"MON",161,2200,6035,95,579,536,221,0.08019884,0.174979287,0.111809278,0.286510332,0.245610792,0.308375209,0.35742007,0.29952640663552355,,87.74127644630727,4.520993302910938,-79.52283280772818,43.85576541721821,16.50955891379534
2019,"LAA",162,2425,6251,220,769,734,65,0.093745,0.204127339,0.175027066,0.280821917,0.246842295,0.32403399,0.421869361,0.3164541591150859,,95.67185766458495,-1.446298920433037,-36.42975119786434,-19.91982575878501,16.49500533488294
2015,"CIN",162,2337,6196,167,640,613,134,0.080051646,0.202550032,0.145754802,0.290045356,0.248070364,0.312245893,0.393825166,0.3069204576197671,,91.39510130152456,10.89425580529496,-52.06739130149464,16.05533976573497,16.493113161139206
2003,"COL",162,2352,6283,198,853,814,63,0.098519815,0.180487028,0.17868793,0.301609848,0.26676332,0.344146458,0.44545125,0.3419076283856361,,90.28114725278206,1.0472847369965166,-78.33745684222033,39.61898309877142,16.484927255414682
2014,"MIA",162,2311,6185,122,645,614,58,0.081002425,0.22942603,0.124954858,0.316402378,0.252618273,0.316538524,0.377573131,0.3070515184847535,,94.72421396705083,-5.5758436298929155,-42.3511845168883,5.003056592307985,16.449681092998702
